feature,data_type,is_target,univar_score,pvalue,fdr,rf_importance,gb_importance,mi_score,corr_score,univar_norm,rf_norm,gb_norm,mi_norm,corr_norm,final_score,target_bonus
L-Cystine,Metabolome,False,2.1745171372737744,0.00036029568414558866,0.04640485320588271,0.005644031933840023,0.039248735292213406,0.15531364489675004,0.8552765024665934,0.31078457877081905,0.4362894461318884,0.4937739179524109,0.5002455029579685,0.3185463550355049,0.4079539797019458,
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus mediterraneensis,Microbiome,False,3.8139077750616464,0.0004182913101936725,0.04640485320588271,0.0031029095709268727,0.01545622655619389,0.1366275172988578,1.7875029625075025,0.5450891762812313,0.2398580861990198,0.19444910738120144,0.44005986180095014,0.6657525977619995,0.39496533495670705,
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus gnavus,Microbiome,True,1.2744389520112487,0.017857603470247015,0.1644149030875804,0.0010821934917502895,0.0,0.04922065455375968,2.3706287096008003,0.18214381917101535,0.08365466472512183,0.0,0.1585334701888846,0.8829368425392387,0.3876305167148416,0.2
(+/-)13-HODE,Metabolome,False,2.5398664385580068,0.0008631558044386149,0.05678845896702387,0.0035706260861240293,0.026781371517699725,0.19438530689488265,1.0916554361827997,0.36300094442215747,0.27601305161277295,0.33692659506043265,0.626090358512373,0.4065853079651369,0.37986094981529667,
FAHFA (4:0/24:4),Metabolome,False,4.404220686631187,0.0002872370318527137,0.0444830657681495,0.0027191284561619644,0.004714311377372472,0.15310254227388254,1.2812280485807652,0.6294577373565433,0.21019141316112652,0.05930901930780551,0.49312382253894704,0.47719132194982394,0.3749346839346302,
DKK,Metabolome,False,4.3692333522155735,0.0002282408085254724,0.0444830657681495,0.002053224632519487,2.0771914307153e-05,0.21820738187872202,1.1009482728249687,0.624457285896558,0.15871636592544977,0.00026132382188756787,0.7028182331927678,0.41004640999677955,0.3734959179933005,
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae|g__Mageeibacillus|s__Mageeibacillus indolicus,Microbiome,False,3.1290987721426973,0.0006972107602265204,0.052423609066555986,0.0028064462659294982,0.01126315551302444,0.16116842083976124,2.0832433747383647,0.44721506738858746,0.21694116924108683,0.1416976212040319,0.5191029918686492,0.7759006377013038,0.3721948493180821,
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Ezakiella|s__Ezakiella massiliensis,Microbiome,False,3.9252539144440286,0.0002661441172936436,0.0444830657681495,0.0024076616059124025,0.0002241431937749415,0.1709534136247537,1.8017991321649194,0.5610029626424434,0.18611470679646744,0.0028198631662553577,0.5506192095224341,0.6710771831121239,0.3650941378646785,
LDGTS 18:1,Metabolome,False,4.09034561290913,0.0002661441172936436,0.0444830657681495,0.004678707927697218,2.2906184289922196e-07,0.1103790733623331,1.1821641494777855,0.5845981589730577,0.3616689122804232,2.881742883679297e-06,0.3555169612230911,0.44029513237387824,0.36315430953145134,
Dodecanedioic acid,Metabolome,False,3.144850528939851,0.0008631558044386149,0.05678845896702387,0.004252300040690454,5.448195225678656e-05,0.21049692979210888,1.073787824973758,0.4494663362145575,0.3287071461123363,0.0006854174235995513,0.6779838473623068,0.3999305449646135,0.3588444024779786,
