,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2-(1H-indol-3-yl)acetic acid,-0.0022685050616965737,0.030033794042085057,-0.009105108537161533,0.01828108834046216,0.013686340799702495,-0.005437487981382765,-0.0011416212203391202,-0.013594493155980726,0.009407081833140948,0.010218560795946019
Sorbic acid,0.007046524833306226,-0.00265627632249868,-0.023737551778177098,0.021907778516596966,0.013626837889655918,-0.005786789223730128,0.008841483638085257,0.008621892285127834,0.005118529950647448,0.009472209123745561
Nicotinic acid,0.010303027839273213,0.003715427608662892,0.042871252811283976,-0.04596886398086044,-0.02473540393848299,-0.01024444210303027,-0.006432523525892085,0.028384905593533103,-0.007919117561768114,0.014859610649149856
Methyl indole-3-acetate,0.004349178917877327,0.00367379709139011,0.05239422745082599,-0.044688108385261494,0.0009734146115950087,-0.006149970926927438,0.029987351156003005,0.029750417390180955,-0.000551029776851066,-0.031083903019666622
L-Glutamic acid,0.021539636926521756,0.010008860890983405,-0.010714760672255361,-0.008657198364812126,0.019608683358400998,-0.01965619740708366,0.023282064125338404,0.007634827057577447,-0.016164460131490217,0.023139593074537078
Pantothenic acid,0.0025846785299398953,0.00877879143706627,0.029779327782761267,-0.013789311086292225,-0.013970052638708185,-0.022585590865935187,-0.004247356279832335,0.029328262025509803,0.008803356268532694,0.013205055376538431
2-Hydroxycinnamic acid,-0.016097986280022087,0.010570296524095512,-0.010851658930989213,0.03370732744572766,0.011043087456562012,-0.0361818073559688,0.012771218039258448,0.008766056681508037,-0.02401192980813676,0.014641647854312658
L-Tyrosine,-0.016154401845293178,0.009547251723325791,-0.011280275685081527,0.03280394391948303,0.013624691267893806,-0.03736349171596551,0.012027269786654448,0.00612154305978569,-0.023780765779307475,0.01576187100363857
Pipecolic acid,0.021355444349736574,-0.006116373850765886,0.038831524053963416,0.043950164000068105,0.002866340890481664,-0.015178187742866894,0.0024577167278739607,0.0075746016209224925,-0.006475825796695526,-0.012612871456907895
Myricetin,0.008703766567816322,-0.006138419476746184,0.0003651998721102771,0.011601674940324035,0.017572742977964705,-0.021352540757881868,-0.00857266027339549,-0.02678298376737336,-0.010099960418899993,0.0009403894792817911
Indole-3-lactic acid,-0.030800382856819547,0.04032619071347977,-0.006890363871912196,0.006918706215008803,-0.025449911028694542,-0.02337551650892218,-0.05025280410942785,-0.010743404908317364,-0.016796473719677803,0.01970834917136084
4-Pyridoxic acid,0.013826183555361892,0.003780161487734997,0.005737493759520627,0.014231056947412692,0.03569035069348912,-0.00425443729108072,-0.0335761719867934,0.012450075982989209,-0.0624380499400261,0.01942574380237827
Indole-3-acetic acid,-0.012404969054044706,-0.0014407194262713251,0.03752161645344159,-0.006664582092495481,-0.018182263745339003,-0.039044735336378325,-0.015230631993486099,0.0017716457464037525,0.03402969727459399,-0.0033044630335688817
4-Phenylbutyric acid,0.010848000409465992,-0.02101304352590274,0.035400710130473696,0.009857968393348734,0.0005360321451075605,0.011832509047815475,0.019763179803246534,0.013026857126365445,-0.02921368342742144,-0.017808199122665385
